ID_DRIVER;NAME;SURNAME;SEX;BIRTH_DATE;PHONE_NUMBER;PESEL
4000;Marissa;Elliott;Female;23/01/1994;077/843/2061;94012371431
4001;Jamie;Chavez;Female;09/06/1975;067/764/9828;75060985319
4002;Caroline;Robinson;Female;08/01/1989;+1/202/934/5975;89010821692
4003;Margaret;West;Female;06/10/1991;670/548/9967x5211;91100689112
4004;Alexandra;Rodriguez;Female;02/09/1977;0566680406;77090288621
4005;Aaron;Henry;Male;29/11/1977;(880)961/2884x29232;77112922396
4006;James;Williams;Male;24/12/1987;(655)045/4650x419;87122483809
4007;Noah;Swanson;Male;11/09/1983;001/526/491/2559x1862;83091180230
4008;Nicholas;Zhang;Male;14/12/1985;3590565278;85121419749
4009;Kristen;Dunn;Female;31/12/1998;398.720.3324x087;98123115676
4010;Lauren;Moore;Female;09/08/1980;259/051/1494x286;80080945337
4011;Robert;Lopez;Male;08/06/1981;(759)479/8948x1876;81060831463
4012;Kim;Goodman;Female;14/11/1977;001/619/311/2975;77111486477
4013;Angela;Nash;Female;30/05/1988;0403461908;88053001021
4014;Jessica;Le;Female;07/08/1993;+1/705/497/8880x3463;93080741844
4015;Catherine;Rivera;Female;04/04/1994;479.440.9729;94040455819
4016;Kim;Davies;Female;04/12/1969;543/096/7016x5073;69120411602
4017;Frederick;Collins;Male;17/12/1975;001/450/796/0038;75121734637
4018;Catherine;Thomas;Female;03/01/1988;(886)630/9905x457;88010342881
4019;Travis;Turner;Male;29/11/1984;(248)830/5093x62502;84112944271
4020;Alejandra;Reed;Female;23/05/1982;533.676.2679x523;82052317798
4021;Erin;Jackson;Female;31/03/1983;001/661/714/3043x632;83033150309
4022;Steven;Hernandez;Male;26/09/1996;(123)002/2620x381;96092617001
4023;Elizabeth;Garcia;Female;26/10/1995;1017170783;95102656724
4024;Jeffrey;Wood;Male;20/06/1995;693/669/0665x7357;95062019816
4025;Patricia;Little;Female;14/03/1990;(587)312/2023x84103;90031468080
4026;Christopher;Griffin;Male;06/02/1987;001/658/716/7136x251;87020686558
4027;Joshua;Hernandez;Male;29/05/1992;(096)834/4123;92052949667
4028;Ashley;Martin;Female;03/07/1972;797.369.6318;72070384032
4029;Eric;Lee;Male;10/02/1999;596/701/0988;99021070373
4030;William;Dennis;Male;08/11/1999;(749)232/2889x0277;99110841709
4031;Chase;Bryant;Male;02/01/1971;044/946/6229x345;71010200127
4032;Craig;Gordon;Male;10/01/1979;3411251810;79011037778
4033;Matthew;Young;Male;27/09/1972;262/345/4458x86509;72092783736
4034;Samuel;Ball;Male;25/05/1974;1406795854;74052586155
4035;Lisa;Barnett;Female;28/05/1983;(022)777/4288;83052827384
4036;Thomas;Hill;Male;02/09/1972;470.663.2121x302;72090291088
4037;Robert;Hernandez;Male;09/04/1987;845.454.1549x12848;87040960010
4038;Cindy;Evans;Female;06/10/1998;+1/815/699/8476x2401;98100684912
4039;Joshua;Lee;Male;19/06/1999;6938041838;99061936548
4040;Sara;Gutierrez;Female;24/02/1991;213.114.2706x25412;91022487979
4041;Felicia;Dean;Female;30/08/1992;215/942/9765x68931;92083042856
4042;Paula;Ross;Female;02/11/1989;438.909.4101x026;89110247950
4043;Richard;Morris;Male;12/11/1987;001/776/136/8940x5976;87111279405
4044;Kimberly;Washington;Female;30/10/1971;+1/299/346/9835x431;71103008307
4045;Sandra;Cummings;Female;04/10/1989;828.544.9113x747;89100482874
4046;David;Ellison;Male;23/01/1994;008/453/2352x72702;94012351363
4047;Kelly;Wilson;Female;09/05/1990;9302969411;90050915601
4048;Sherry;Jenkins;Female;10/07/1970;283.901.8158;70071058369
4049;Savannah;Chang;Female;19/12/1975;024/265/1306;75121904699
4050;Adam;Ross;Male;26/06/1975;3635368725;75062651633
4051;Gregory;Fowler;Male;16/07/1986;(236)289/8068;86071687514
4052;Raymond;Hall;Male;30/08/1970;9158627064;70083053681
4053;Nancy;Harris;Female;14/02/1975;508/450/1110;75021472499
4054;Amy;Johnson;Female;24/04/1982;001/293/667/5235x67027;82042445520
4055;Samuel;Jones;Male;04/03/1973;001/624/872/9401;73030442587
4056;David;Moore;Male;26/11/1979;(237)978/4512;79112611848
4057;William;Robinson;Male;29/12/1975;375/312/2848;75122953734
4058;Ronald;Winters;Male;10/03/1985;(805)270/6664x78465;85031023900
